,Observed,beta_div_metacomm_mean,abund_null_dev_stoch,abund_null_dev_det
X1351_1949,893,0.628592205,-0.192232931,-0.045258618
X1351_1950,1107,0.580137678,-0.240687458,-0.093713145
X1351_1951,860,0.613752498,-0.207072638,-0.060098325
X1351_1940,945,0.633586113,-0.187239023,-0.04026471
X1351_1941,932,0.594049272,-0.226775864,-0.079801551
X1351_1942,937,0.658777834,-0.162047302,-0.01507299
X1351_1943,1069,0.599634982,-0.221190155,-0.074215842
X1351_1944,1269,0.626742021,-0.194083115,-0.047108802
X1351_1945,888,0.744255434,-0.076569702,0.070404611
X1351_1946,814,0.621769542,-0.199055594,-0.052081281
X1351_1947,910,0.674252199,-0.146572937,0.000401376
X1351_1948,1025,0.714610289,-0.106214847,0.040759465
X1351_673,751,0.583742511,-0.237082625,-0.090108312
X1351_677,1150,0.652714483,-0.168110653,-0.02113634
X1351_678,1119,0.608963283,-0.211861853,-0.06488754
X1351_1375,995,0.616244421,-0.204580715,-0.057606403
X1351_680,828,0.642066396,-0.17875874,-0.031784428
X1351_681,1262,0.646290731,-0.174534405,-0.027560092
X1351_682,1281,0.629854887,-0.190970249,-0.043995936
X1351_683,1028,0.657855237,-0.162969899,-0.015995586
X1351_684,1119,0.619357615,-0.201467521,-0.054493208
X1351_700,661,0.628144081,-0.192681056,-0.045706743
X1351_701,664,0.724684295,-0.096140841,0.050833472
X1351_702,640,0.637889926,-0.18293521,-0.035960897
X1351_703,506,0.652257918,-0.168567218,-0.021592905
X1351_1335,916,0.617677413,-0.203147723,-0.05617341
X1351_621,704,0.669261932,-0.151563204,-0.004588891
X1351_622,836,0.617226756,-0.20359838,-0.056624067
X1351_623,911,0.597846124,-0.222979012,-0.076004699
X1351_625,869,0.585654209,-0.235170927,-0.088196614
X1351_615,1059,0.618900387,-0.201924749,-0.054950436
X1351_616,934,0.646245201,-0.174579935,-0.027605623
X1351_617,864,0.637585975,-0.183239161,-0.036264848
X1351_619,873,0.642404045,-0.178421091,-0.031446778
X1351_620,1008,0.642100964,-0.178724172,-0.031749859
X1351_1339,1001,0.636899519,-0.183925617,-0.036951304
X1351_627,842,0.636756194,-0.184068942,-0.03709463
X1351_628,816,0.622574087,-0.198251049,-0.051276736
X1351_630,871,0.644488587,-0.176336549,-0.029362237
X1351_631,1015,0.652851745,-0.167973391,-0.020999078
X1351_697,799,0.597794524,-0.223030612,-0.076056299
X1351_695,906,0.600338039,-0.220487097,-0.073512784
X1351_1751,842,0.604689318,-0.216135818,-0.069161505
X1351_1752,1034,0.581057072,-0.239768064,-0.092793751
X1351_1753,1207,0.597258349,-0.223566787,-0.076592474
X1351_1754,868,0.616401257,-0.204423879,-0.057449566
X1351_1755,797,0.628124946,-0.19270019,-0.045725877
X1351_1756,856,0.609332939,-0.211492197,-0.064517884
X1351_632,772,0.59735402,-0.223471116,-0.076496803
X1351_633,1096,0.617384109,-0.203441027,-0.056466715
X1351_634,1193,0.570877026,-0.24994811,-0.102973797
X1351_635,986,0.589721968,-0.231103168,-0.084128855
X1351_636,955,0.572236574,-0.248588563,-0.10161425
X1351_637,1059,0.599985531,-0.220839605,-0.073865293
X1351_690,1010,0.580844106,-0.23998103,-0.093006718
X1351_691,983,0.593784391,-0.227040745,-0.080066432
X1351_692,1249,0.618102268,-0.202722868,-0.055748555
X1351_693,1023,0.605337861,-0.215487275,-0.068512962
X1351_694,1169,0.630359247,-0.190465889,-0.043491577
X1351_1348,1003,0.705907997,-0.114917139,0.032057174
X1351_1350,1409,0.622027687,-0.198797449,-0.051823136
X1351_638,1050,0.704257338,-0.116567798,0.030406515
X1351_639,1197,0.639399537,-0.181425599,-0.034451286
X1351_640,1510,0.651452387,-0.169372749,-0.022398436
X1351_641,1503,0.684125182,-0.136699954,0.010274359
X1351_642,1217,0.592336829,-0.228488307,-0.081513994
X1351_643,1337,0.676898981,-0.143926155,0.003048157
X1351_644,1489,0.635443698,-0.185381438,-0.038407126
X1351_645,1469,0.642530426,-0.17829471,-0.031320397
X1351_646,1542,0.639107059,-0.181718077,-0.034743764
X1351_647,658,0.644643073,-0.176182063,-0.02920775
X1351_648,921,0.62213695,-0.198688187,-0.051713874
X1351_649,971,0.582357694,-0.238467442,-0.09149313
X1351_651,931,0.598923613,-0.221901523,-0.07492721
X1351_652,758,0.622967728,-0.197857408,-0.050883095
X1351_705,829,0.62457424,-0.196250896,-0.049276583
X1351_706,961,0.623616523,-0.197208614,-0.050234301
X1351_707,1117,0.613997475,-0.206827661,-0.059853348
X1351_708,994,0.628417804,-0.192407332,-0.045433019
X1351_709,1152,0.654713687,-0.166111449,-0.019137137
X1351_1432,873,0.646692516,-0.17413262,-0.027158307
X1351_666,783,0.623369302,-0.197455834,-0.050481521
X1351_667,616,0.618049681,-0.202775456,-0.055801143
X1351_668,860,0.628403735,-0.192421401,-0.045447088
X1351_669,735,0.613474961,-0.207350175,-0.060375863
X1351_671,656,0.618435811,-0.202389325,-0.055415012