"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SEV","SFA","UHC"
"2386","OTU10347","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00826446280991736,0,0,0,0,0.0266666666666667,0.0253164556962025,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0.133333333333333,0.03125,0,0,0,0,0,0,0,0,0
"2587","OTU2185","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.012396694214876,0,0,0,0,0.0133333333333333,0.0253164556962025,0.0191082802547771,0,0,0.0263157894736842,0,0,0,0.0740740740740741,0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0.1,0
"2590","OTU6016","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00619834710743802,0,0,0.0105263157894737,0,0,0.0126582278481013,0.00636942675159236,0,0,0.0263157894736842,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0
"2607","OTU5597","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Fusidium","uncl_Fusidium",0.0144628099173554,0,0,0.0315789473684211,0,0.0133333333333333,0,0.0191082802547771,0,0,0.0263157894736842,0,0,0.0384615384615385,0,0,0,0,0,0,0,0.0238095238095238,0,0,0.15,0,0,0,0,0.0476190476190476
"2646","OTU33","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.0289256198347107,0,0,0.0105263157894737,0,0,0.0379746835443038,0.0636942675159236,0,0,0.0263157894736842,0,0,0,0.0740740740740741,0,0,0.285714285714286,0.0810810810810811,0.0666666666666667,0,0.119047619047619,0,0,0,0,0,0,0,0
"2658","OTU1265","Fungi","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","uncl_Apiosporaceae","uncl_Apiosporaceae",0.0764462809917355,0,0,0.157894736842105,0,0.0133333333333333,0.0379746835443038,0.114649681528662,0,0,0.0263157894736842,0,0,0.115384615384615,0.148148148148148,0,0,0,0.162162162162162,0,0.09375,0.0714285714285714,0.444444444444444,0.0588235294117647,0,0.0454545454545455,0,0,0,0.0952380952380952
"2662","OTU10992","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Microdochium","Microdochium_neoqueenslandicum",0.00206611570247934,0,0,0,0,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238095238095238,0,0,0,0,0,0,0,0
"2730","OTU8920","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00206611570247934,0,0,0,0,0,0,0.00636942675159236,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2788","OTU7574","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hyponectriaceae","uncl_Hyponectriaceae","uncl_Hyponectriaceae",0.00619834710743802,0,0,0.0105263157894737,0,0,0.0126582278481013,0.00636942675159236,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
"2823","OTU3754","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0206611570247934,0,0,0.0631578947368421,0,0,0,0.0254777070063694,0,0,0,0,0,0,0,0,0,0,0,0,0.28125,0,0,0.0294117647058824,0,0,0,0,0,0
"2833","OTU8462","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Daldinia","Daldinia_eschscholtzii",0.00206611570247934,0,0,0,0,0.0133333333333333,0,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2850","OTU10077","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00826446280991736,0,0,0.0105263157894737,0,0.0266666666666667,0,0.00636942675159236,0,0,0.0263157894736842,0,0,0,0,0,0.0526315789473684,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0
"2946","OTU8241","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00413223140495868,0,0,0,0,0,0.0126582278481013,0.00636942675159236,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0
"2954","OTU8515","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Monosporascus","uncl_Monosporascus",0.00206611570247934,0,0,0,0,0.0133333333333333,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2968","OTU3242","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00619834710743802,0.111111111111111,0,0,0.0128205128205128,0.0133333333333333,0.0126582278481013,0,0,0,0,0.037037037037037,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"2972","OTU52","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00619834710743802,0.111111111111111,0,0,0.0128205128205128,0,0.0253164556962025,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0,0.1,0,0
"2987","OTU1338","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00206611570247934,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0
"3036","OTU3103","Fungi","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","uncl_Apiosporaceae","uncl_Apiosporaceae",0.0268595041322314,0,0,0.0421052631578947,0.0128205128205128,0.0133333333333333,0.0126582278481013,0.0382165605095541,0,0,0,0,0.0909090909090909,0,0.037037037037037,0,0,0,0.108108108108108,0,0.0625,0,0.037037037037037,0.0294117647058824,0.05,0,0.166666666666667,0,0.1,0
"3190","OTU374","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","uncl_Xylaria",0.012396694214876,0,0,0.0105263157894737,0.0256410256410256,0.0133333333333333,0,0.0127388535031847,0,0,0,0,0.181818181818182,0,0.0740740740740741,0,0,0,0,0,0,0,0.037037037037037,0.0294117647058824,0,0,0,0,0,0
"3213","OTU1519","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00206611570247934,0,0,0,0.0128205128205128,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3271","OTU393","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","uncl_Xylaria",0.00619834710743802,0,0,0,0.0128205128205128,0.0133333333333333,0,0.00636942675159236,0,0,0,0,0.0909090909090909,0,0.0740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3377","OTU1116","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00206611570247934,0,0,0,0.0128205128205128,0,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3378","OTU1158","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00206611570247934,0,0,0,0.0128205128205128,0,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3387","OTU8156","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00413223140495868,0,0,0,0.0128205128205128,0.0133333333333333,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3578","OTU1271","Fungi","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Apiospora","uncl_Apiospora",0.00206611570247934,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0
"3805","OTU4769","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Monosporascus","uncl_Monosporascus",0.00619834710743802,0,0,0,0,0.0133333333333333,0.0253164556962025,0,0,0,0,0,0,0,0.0740740740740741,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3862","OTU3946","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00413223140495868,0.111111111111111,0,0,0.0128205128205128,0,0.0126582278481013,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"3927","OTU2816","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00206611570247934,0,0,0,0,0,0.0126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0
"3958","OTU83","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00619834710743802,0,0,0,0,0,0,0.0191082802547771,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0
"3984","OTU4453","Fungi","Ascomycota","Sordariomycetes","Xylariales","Graphostromataceae","Biscogniauxia","Biscogniauxia_mediterranea",0.0144628099173554,0,0,0.0315789473684211,0,0,0,0.0254777070063694,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0.03125,0,0,0,0.15,0.0909090909090909,0,0,0,0
"4050","OTU7542","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00206611570247934,0,0,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4091","OTU6039","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00206611570247934,0,0,0,0,0.0133333333333333,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4229","OTU1658","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Hypocopra","Hypocopra_zeae",0.00413223140495868,0,0,0,0,0,0,0.0127388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0.1,0
"4426","OTU2286","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00413223140495868,0,0,0.0105263157894737,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0.1,0
"4471","OTU10590","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00826446280991736,0,0,0.0210526315789474,0,0,0,0.0127388535031847,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0.136363636363636,0,0,0,0
"4509","OTU6386","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0165289256198347,0,0,0.0421052631578947,0,0,0,0.0254777070063694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205882352941176,0,0,0,0,0.1,0
"4527","OTU8968","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.0103305785123967,0,0,0.0210526315789474,0,0,0,0.0191082802547771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0,0,0.1,0
"4944","OTU1625","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Daldinia","uncl_Daldinia",0.00206611570247934,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0
"5128","OTU3464","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0165289256198347,0,0,0.0315789473684211,0,0,0,0.0318471337579618,0,0,0,0,0,0,0,0,0,0,0,0,0.21875,0,0,0,0.05,0,0,0,0,0
"5138","OTU7966","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Hypoxylon","uncl_Hypoxylon",0.00413223140495868,0,0,0.0210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
"5218","OTU9728","Fungi","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Apiospora","uncl_Apiospora",0.0144628099173554,0,0,0.0105263157894737,0,0,0.0379746835443038,0.0191082802547771,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.147058823529412,0,0,0,0,0,0
"5237","OTU1920","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00206611570247934,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0
"5254","OTU9636","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00413223140495868,0,0,0.0210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
"5278","OTU11663","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00413223140495868,0,0,0,0,0,0.0253164556962025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
"5337","OTU12904","Fungi","Ascomycota","Sordariomycetes","Xylariales","Coniocessiaceae","Coniocessia","uncl_Coniocessia",0.00206611570247934,0,0,0,0,0,0.0126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0
"5478","OTU5911","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","uncl_Amphisphaeriaceae","uncl_Amphisphaeriaceae",0.0144628099173554,0,0,0.0105263157894737,0,0.0266666666666667,0.0506329113924051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0
"5552","OTU807","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00413223140495868,0,0,0.0210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238095238095238,0,0,0,0.0454545454545455,0,0,0,0
"5613","OTU2291","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00206611570247934,0,0,0,0,0,0.0126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238095238095238,0,0,0,0,0,0,0,0
"5714","OTU5795","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Fusidium","uncl_Fusidium",0.00206611570247934,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0
"5755","OTU9589","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Anthostomella","Anthostomella_lamiacearum",0.00206611570247934,0,0,0,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476
"5876","OTU12071","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00413223140495868,0,0,0.0105263157894737,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0.05,0,0,0,0,0
"6259","OTU8576","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00206611570247934,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0
"6280","OTU602","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00413223140495868,0,0,0.0105263157894737,0,0,0,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0
"6304","OTU1674","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Daldinia","uncl_Daldinia",0.00206611570247934,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0
"6459","OTU9517","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Hypoxylon","Hypoxylon_invadens",0.00206611570247934,0.111111111111111,0,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"6587","OTU4369","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00619834710743802,0,0,0,0,0,0,0.0191082802547771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143
