"","Domain","Sign","Phylum","Class","Order","Family","Genus","Species","SRR13801565","SRR13801564","SRR13801563","SRR13801566","SRR13801561","SRR13801559","SRR13801558","SRR13801556","SRR13801555","SRR13801549"
"OTU1","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0.100632661130882","0.459272439699486","0.0669236852510874","0.0122578094108343","0.0106761565836299","0.0515025701858442","0.00533807829181495","0.00691973111901938","0","0.381376037959668"
"OTU6679","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","9.88533017002768e-05","0","9.88533017002768e-05","9.88533017002768e-05","0","0.000593119810201661","0.000197706603400554","0.0676156583629893","0.000197706603400554","0"
"OTU102","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","0","0","0.00237247924080664","0","0","0","0","0","0","0"
"OTU75","Fungi","Generalists","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales","0.0487346777382365","0.0136417556346382","0","0.0155199683669435","0.00484381178331356","0.0126532226176354","0.000395413206801107","0.000494266508501384","0","0.0055357848952155"
"OTU12","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","0","0","0.00385527876631079","0","0.0101818900751285","0","0","0","0.00355871886120996","0"
"OTU7","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","0","9.88533017002768e-05","0.000691973111901938","0","0","0","0","0","0","0"
"OTU2","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0.000395413206801107","0.0012850929221036","9.88533017002768e-05","9.88533017002768e-05","9.88533017002768e-05","0.000197706603400554","0","0","0","0.000395413206801107"
"OTU877","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0.00108738631870304","0","0.00514037168841439","0","0","0","0","0","0","0"
"OTU12011","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0","0","0","0","0.000395413206801107","0","0","0","0"
"OTU48","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","0","0","0","0.0448793989719257","0","0.291221826809015","0.00247133254250692","0.00029655990510083","0","0"
"OTU1529","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae","0.021055753262159","0.00217477263740609","0","0","0.00108738631870304","0","0.000691973111901938","0.0025701858442072","0","0"
"OTU135","Fungi","Generalists","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","uncl_Talaromyces","0.00365757216291024","0","0","0.000395413206801107","0.0585211546065639","0.000197706603400554","0","0","0","0"
"OTU689","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0","0","0","0.00444839857651246","0.000197706603400554","0.000691973111901938","0","0","0.00800711743772242"
"OTU50","Fungi","Generalists","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnum","uncl_Lachnum","0","0","0","0","0","0","9.88533017002768e-05","0","0","0"
"OTU742","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0","0","0","0","0.0191775405298537","0","0","0","0"
"OTU100","Fungi","Specialists","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","uncl_Marasmiaceae","uncl_Marasmiaceae","9.88533017002768e-05","0","0.00029655990510083","0.418347172795571","0.723309608540925","0.00286674574930803","0.836200079082641","0.375840253064452","0.191478845393436","0.248616053776196"
"OTU177","Fungi","Generalists","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","0","0.00336101225780941","0","0","0","0","0","0","0","0.0929221035982602"
"OTU53","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","uncl_Nectriaceae","uncl_Nectriaceae","0.0328192961644919","0.00286674574930803","0","0","0.000790826413602214","0","0","9.88533017002768e-05","0","0"
"OTU146","Fungi","Generalists","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","9.88533017002768e-05","0","0.00988533017002768","0","0.00375642546461052","0.00187821273230526","0.0055357848952155","9.88533017002768e-05","0.000889679715302491","0.00108738631870304"
"OTU149","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","uncl_Didymosphaeriaceae","uncl_Didymosphaeriaceae","0.00227362593910637","9.88533017002768e-05","0","0.101028074337683","0","0","0","0","0","0.000691973111901938"
"OTU3","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","0.0446816923685251","0.0530842230130486","0.000790826413602214","0.00563463819691578","0.0721629102412021","0.0588177145116647","0.0335112692763938","0.341043890865955","0.00138394622380388","0.063562672993278"
"OTU5531","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","uncl_Nectriaceae","uncl_Nectriaceae","0","0","0","0","9.88533017002768e-05","0","0","0","0","0"
"OTU5396","Fungi","Generalists","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales","0","0","0","0.00177935943060498","0","9.88533017002768e-05","0","0","0","0"
"OTU9163","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0","0","0.000494266508501384","0","0.00029655990510083","0","0","0","0"
"OTU289","Fungi","Generalists","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","0","0","0","9.88533017002768e-05","0","0","0","0","0","0"
"OTU214","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0.0611901937524713","0.00800711743772242","0.000593119810201661","0","0","0","0","0.00336101225780941","0","0"
"OTU137","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0","0","0","0.000494266508501384","0","0.00108738631870304","0","0.0536773428232503","0.127421905891657"
"OTU2462","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae","0","0","0","0","0.000494266508501384","0","0","9.88533017002768e-05","0","0"
"OTU9487","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","0","0","0","0","0","9.88533017002768e-05","0","0.00642546461051799","0","0"
"OTU4672","Fungi","Generalists","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","0","0.00276789244760775","0","0","0","0","0","0","0","0.00217477263740609"
"OTU649","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","0","0","9.88533017002768e-05","0","0","0","0","0","0","0"
"OTU679","Fungi","Generalists","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","0.00148279952550415","0","0","0","0.00029655990510083","0","0","0","0","0"
"OTU56","Fungi","Specialists","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","0.144721233689205","9.88533017002768e-05","0","0","0","0.00276789244760775","0","0","0","0"
"OTU4421","Fungi","Generalists","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","0","9.88533017002768e-05","0","0","0","0","0","0","0.000197706603400554","0"
"OTU256","Fungi","Generalists","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","uncl_Aureobasidium","0.00148279952550415","0.00029655990510083","0.00197706603400554","0","0.00909450375642546","0","0.0207591933570581","0.00108738631870304","0","0.00148279952550415"
"OTU108","Fungi","Generalists","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales","0","0","0.114867536575722","0","9.88533017002768e-05","0","0","0","0.67487149070779","0"
"OTU8314","Fungi","Generalists","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","uncl_Talaromyces","0","0","0","0","0.00029655990510083","0","0","0","0","0"
"OTU11063","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0","0.000494266508501384","0","0","0","0","0","0","0"
"OTU40","Fungi","Generalists","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Crinipellis","uncl_Crinipellis","0","0","0","0","0","0","0","9.88533017002768e-05","0","0"
"OTU9657","Fungi","Generalists","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales","0.000395413206801107","0.000691973111901938","0","0","0.000197706603400554","0","0","9.88533017002768e-05","0","9.88533017002768e-05"
"OTU15","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","9.88533017002768e-05","0","9.88533017002768e-05","0","0","0","0","0","0","0"
"OTU636","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0.00326215895610913","0","0","9.88533017002768e-05","0","0","0","0.000988533017002768","0"
"OTU6063","Fungi","Generalists","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales","0","0","0","0","0","0","0.00029655990510083","0","0","0"
"OTU154","Fungi","Specialists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0","0.000593119810201661","0","0","0","0","0","0","0"
"OTU287","Fungi","Generalists","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","0","0","0","0","0.00158165282720443","0","0.00158165282720443","0.00168050612890471","0","0.00266903914590747"
"OTU1643","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","uncl_Alternaria","0","0","0","0","0","0","9.88533017002768e-05","0","0","0"
"OTU7766","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","9.88533017002768e-05","0.00197706603400554","0.00029655990510083","0","0","0","0","0","0"
"OTU4217","Fungi","Generalists","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","0","0","0","0","0","0","0","0","0","0.000197706603400554"
"OTU176","Fungi","Generalists","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","uncl_Talaromyces","0","0","0","0","9.88533017002768e-05","0","0","0","0","0"
"OTU223","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0.000197706603400554","0","0","0","0","0","0","9.88533017002768e-05","0","0"
"OTU7840","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","9.88533017002768e-05","0.00029655990510083","0","0","0","0","0","0","0"
"OTU131","Fungi","Specialists","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales","0","0","0","0","0","0","0.00177935943060498","0","0.000197706603400554","0"
"OTU3359","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","uncl_Rhizophagus","0.0305456702253855","0.000691973111901938","0","0.00108738631870304","0","0","0","0.00029655990510083","0","0"
"OTU7451","Fungi","Generalists","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","0.0142348754448399","0","0","0","0","0","0","0","0","0"
"OTU115","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","0.000691973111901938","0.000395413206801107","0.0243179122182681","0","0.000889679715302491","0.000197706603400554","0.0025701858442072","0.000197706603400554","0.00187821273230526","0.000691973111901938"
"OTU2521","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae","0","0","0","0","0.00029655990510083","0","0","0","0","0"
"OTU51","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","uncl_Didymosphaeriaceae","uncl_Didymosphaeriaceae","0","0","0","9.88533017002768e-05","0","0.000395413206801107","0","0","0","0"
"OTU34","Fungi","Specialists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0","0","9.88533017002768e-05","0","0","0","0","0","0"
"OTU632","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","uncl_Phaeosphaeriaceae","uncl_Phaeosphaeriaceae","9.88533017002768e-05","0","0","0","0","0","0","0","0","0"
"OTU2913","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0","0","0","0","0","0","0.000395413206801107","0","0"
"OTU5983","Fungi","Generalists","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia_arunalokei","0","0","0","0","0","0.0012850929221036","0","0","0","0"
"OTU117","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","0","0","0","9.88533017002768e-05","0","0","0","0","0","0"
"OTU5026","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","uncl_Hypocreales","uncl_Hypocreales","uncl_Hypocreales","0","0","0","0","0","0","0","9.88533017002768e-05","0","0"
"OTU3004","Fungi","Generalists","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","uncl_Phaeococcomyces","9.88533017002768e-05","0","0","0.000691973111901938","0.00217477263740609","0","0.000691973111901938","0","0.00029655990510083","0"
"OTU495","Fungi","Specialists","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","0.00345986555950969","9.88533017002768e-05","0","0","0.000395413206801107","0","0.00474495848161329","0.000197706603400554","0.000395413206801107","0.00029655990510083"
"OTU1348","Fungi","Specialists","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","uncl_Sporormiaceae","uncl_Sporormiaceae","0.000494266508501384","0","0","0","0","0","0","0","0","0"
"OTU2759","Fungi","Generalists","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","uncl_Phaeococcomyces","0","0","0","0","0","0","0","0","0.000494266508501384","0"
"OTU4","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","0","0","0","0","0.000197706603400554","0","0","0.000593119810201661","0","0"
"OTU478","Fungi","Specialists","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","0.000889679715302491","0","0","0","0","0","0","0","0","0"
"OTU339","Fungi","Specialists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0.000197706603400554","0","0","0","0","9.88533017002768e-05","0","0.000197706603400554","0"
"OTU6119","Fungi","Specialists","Ascomycota","Dothideomycetes","Mycosphaerellales","uncl_Mycosphaerellales","uncl_Mycosphaerellales","uncl_Mycosphaerellales","0","0","0","0","9.88533017002768e-05","0","0.000197706603400554","0","0","0"
"OTU4123","Fungi","Generalists","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","uncl_Cladosporiaceae","uncl_Cladosporiaceae","0","0.00029655990510083","0","0","0","0.000197706603400554","0.000197706603400554","0","0","0"
"OTU7314","Fungi","Generalists","Basidiomycota","Cystobasidiomycetes","uncl_Cystobasidiomycetes","uncl_Cystobasidiomycetes","uncl_Cystobasidiomycetes","uncl_Cystobasidiomycetes","0","0","0","0","0","0","9.88533017002768e-05","0","0","0"
"OTU5027","Fungi","Specialists","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","Keissleriella_trichophoricola","0","0","0.00029655990510083","0","9.88533017002768e-05","0","0","0","0","0"
"OTU3450","Fungi","Generalists","Ascomycota","Arthoniomycetes","uncl_Arthoniomycetes","uncl_Arthoniomycetes","uncl_Arthoniomycetes","uncl_Arthoniomycetes","0","0","9.88533017002768e-05","0","0","0","0","0","0","0.000197706603400554"
"OTU2635","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","uncl_Glomerales","uncl_Glomerales","uncl_Glomerales","0","0","0","0","0","0","0","0.00029655990510083","0","0"
"OTU6121","Fungi","Generalists","Basidiomycota","Tremellomycetes","Tremellales","uncl_Tremellales","uncl_Tremellales","uncl_Tremellales","0","0","0","0","9.88533017002768e-05","0","0","0","0","0"
"OTU1491","Fungi","Generalists","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","0","0","0","0","0","0","0","0","9.88533017002768e-05","0"
"OTU841","Fungi","Generalists","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales","0.000691973111901938","0","0.00108738631870304","0","0.000395413206801107","0.00138394622380388","0","0","0.000197706603400554","0"
"OTU11","Fungi","Specialists","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales","0","9.88533017002768e-05","0.00721629102412021","0","0","0","0","0","0","0"
"OTU8872","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","0","0","0","0.00355871886120996","0","0","0","0","0","0"
"OTU3125","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae","0.000197706603400554","0","0","0","0.000395413206801107","9.88533017002768e-05","0","9.88533017002768e-05","0","0"
"OTU8516","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae","0.00138394622380388","0","0","0","0","0","0","0","0","0"
"OTU62","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","9.88533017002768e-05","0","0","0","0","0","0","0","0","0"
"OTU4107","Fungi","Generalists","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","0","0.000197706603400554","0","0","0","0","0","0","0","0"
"OTU1562","Fungi","Specialists","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","0","0","0","0","0","0","0","0","0","0.0277777777777778"
"OTU1231","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","uncl_Rhizophagus","0.141360221431396","0.00227362593910637","0","0.00405298536971135","0.000691973111901938","0.00948991696322657","0","0","0","0"
"OTU106","Fungi","Generalists","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","uncl_Marasmiaceae","uncl_Marasmiaceae","0","0","0","0.000889679715302491","0.0012850929221036","0","0.000790826413602214","0.000790826413602214","0.000197706603400554","0.000197706603400554"
"OTU43","Fungi","Specialists","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales","0","0","0.492190589165678","0","0","0","0","0","0","0"
"OTU1870","Fungi","Specialists","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","0","0","0","0","0","0","0.00158165282720443","0","0","0"
"OTU5613","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","uncl_Darksidea","0.0012850929221036","0","0","0","0","0","0","0","0","0"
"OTU169","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","uncl_Didymosphaeriaceae","uncl_Didymosphaeriaceae","0","0","0","9.88533017002768e-05","0","0","0","0","0","0"
"OTU3170","Fungi","Generalists","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","0","0","0.00197706603400554","0","0","0","0","0","0","0"
"OTU2498","Fungi","Generalists","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","uncl_Filobasidium","9.88533017002768e-05","0","0","0","0","0","0","0","0","0"
"OTU199","Fungi","Generalists","Ascomycota","Sordariomycetes","Magnaporthales","uncl_Magnaporthales","uncl_Magnaporthales","uncl_Magnaporthales","0","0","0","0","0","0","0","0","0","9.88533017002768e-05"
"OTU490","Fungi","Specialists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0.000988533017002768","0","0","0","0","0","0","0","0"
"OTU209","Fungi","Specialists","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe_deliquescens","0.00603005140371688","0.0393436140767102","0","0","0.00563463819691578","0","0","0.105179913009095","0","0"
"OTU799","Fungi","Singleton","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","uncl_Keissleriella","0","0","9.88533017002768e-05","0","0","0","0","0","0","0"
"OTU586","Fungi","Specialists","Ascomycota","Dothideomycetes","Capnodiales","uncl_Capnodiales","uncl_Capnodiales","uncl_Capnodiales","0","0.0206603400553578","0","9.88533017002768e-05","0.000691973111901938","0","0.00168050612890471","0","0","0.00168050612890471"
"OTU3810","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","uncl_Phaeosphaeriaceae","uncl_Phaeosphaeriaceae","0","0","0.000395413206801107","0","0","0","0","0","0","0"
"OTU2556","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae","0","0","0","0","0","0.000494266508501384","0","0","0","0"
"OTU1922","Fungi","Specialists","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales","0","0","0","0","9.88533017002768e-05","0","0","0","0","0"
"OTU4465","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae","0","9.88533017002768e-05","0","0","0","0.000889679715302491","0","0","0","0"
"OTU2656","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae","0.000197706603400554","9.88533017002768e-05","0","0","0","0.00286674574930803","0","0","0","0"
"OTU1621","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae","0","9.88533017002768e-05","0","0","0.00029655990510083","0","0","0.00029655990510083","0","0"
"OTU3827","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae","0","0","0","0","9.88533017002768e-05","0","0","0","0","0"
"OTU1282","Fungi","Generalists","Mucoromycota","uncl_Mucoromycota","uncl_Mucoromycota","uncl_Mucoromycota","uncl_Mucoromycota","uncl_Mucoromycota","0.000494266508501384","0","0","0","0.000395413206801107","0","0","9.88533017002768e-05","0","0"
"OTU329","Fungi","Generalists","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","uncl_Chaetomiaceae","uncl_Chaetomiaceae","0.00158165282720443","0","0.000197706603400554","0.000494266508501384","9.88533017002768e-05","0.0133451957295374","0.000197706603400554","0.000395413206801107","0","0.00345986555950969"
"OTU777","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0","0","0","0.00652431791221827","0","0","0","0","0"
"OTU2134","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Kamienskia","uncl_Kamienskia","0.00514037168841439","0.00118623962040332","0.00454725187821273","9.88533017002768e-05","0.0012850929221036","0.0118623962040332","0","0.00197706603400554","0.000197706603400554","0"
"OTU1823","Fungi","Generalists","Mucoromycota","Glomeromycetes","Glomerales","uncl_Glomerales","uncl_Glomerales","uncl_Glomerales","0","0","0.000197706603400554","0","0","0","0.000494266508501384","0","0","0"
